,Events,,Content,,Product,,,Open Source,,,,Community,,,,,Social,,,,To categorize somewhere:,,,,,,
,7an,5gb,nxt,zzj,ajo,rqu,mrq,rbu,jnv,kfs,i8n,4x9,ngj,vyn,bvi,klo,w3e,cik,o41,0j9,keg,rp2,xp6,vap,3dm,9qp,qdn
Lead ID,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar) [10 pts]",🎙️ Gave a talk about us [10 pts],📚 Wrote blog post for MGD (for internal publication) [9 pts],💌 Follow MGD on Medium [1 pt],🆘 Successful support interaction [6 pts],🌱 Starting using new feature (Educational Call) [6 pts],🙋‍♂️ Fill member feedback surverys [4 pts],📝Submit MGD Improvement Proposal (MIP) [8 pts],✍️ Contributed to our Documentation [7 pts],📋 Opened a Ticket on Notion [4 pts],⭐ Create Discourse Account [1 pt],🏵 Attended Committee Call [7 pts],🤓 Answered forum question [6 pts],📞 Attended Dao-wide Call [6 pts],👐 Onboarding a new member [6 pts],👋 Joined the DAO,🎳 Posted about us in external/private forum [5 pts],🗣 Tweeted about us [4 pts],🐦 Retweeted our tweet [2 pts],🐦 Followed us on twitter [1 pt],"Grants - promote & update grants criteria, outreach [9 pts]",Grants - review applications (as part of a team) [9 pts],"Grants - administration - followup, refinement, onboarding [10 pts]",Grants - accounting and payments [9 pts],"Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period [10 pts]",Fundraising - close a grant (upon receipt) [10 pts],Fundrasing - create and deliver a marketing/outreach campaign [10 pts]
mgd71,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd2,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd3,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd4,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd5,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd72,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd73,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd6,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd7,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd8,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd9,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd10,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd11,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd12,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd13,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd14,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd15,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd16,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd17,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd74,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd18,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd19,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd20,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd21,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd22,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd23,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd24,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd25,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd26,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd27,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd28,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd29,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd30,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd31,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd32,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd33,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd34,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd35,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd36,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd37,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd38,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd39,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd40,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd41,,,,,,,,,,,,,,,,1,,,,,,,,,,,
