Date Added,Action,User,Description,Date of Engagement,Approved
,👋 Joined the DAO,0x11cA8bfA53F39F1d303822898b28Bf116C490461,,10/30/21,TRUE
,🧙‍♂️ Start/Run a Committee,0x5a4afc30b7d6090dc9911aa3355979d4c96cd72e,Governance WG,11/3/21,TRUE
,🏵 Attended Committee Call,0xa873baa34ea1868194e5937e3aefd20dd2e549ea,Governance WG,11/3/21,TRUE
,🚚 Fundraising - create and deliver a marketing/outreach campaign,0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619,2022 Fundraising Proposal,10/31/21,TRUE
,🤓 Answered forum question,0x11cA8bfA53F39F1d303822898b28Bf116C490461,Spoke with @nich about blockchain clubs,11/5/21,TRUE
,📏 Created a Poll,0xb968749ddb25f0bc0b241c3b68e588455222b8d8,Social Token Poll,11/4/21,TRUE
,"""🏋️‍♀️ Grants - promote & update grants criteria, outreach""",0x2619c649d98ddddbb0b218823354fe1d41bf5ce0,RaidGuild Cohort,11/4/21,TRUE
,⌗ Enter Movement Model Data (Governance Committee),0xa873baa34ea1868194e5937e3aefd20dd2e549ea,,10/29/21,TRUE
,⌗ Enter Movement Model Data (Governance Committee),0xfbac8daa7b3469ef4cdd56dc682ad396a419528d,,10/29/21,TRUE
