Date Added,Task ID,Action,User,Description,Date of Engagement,Approved
,klo,👋 Joined the DAO,mgd88,,10/30/21,TRUE
,ecu,🧙‍♂️ Start/Run a Committee,mgd52,Governance WG,11/3/21,TRUE
,4x9,🏵 Attended Committee Call,mgd21,Governance WG,11/3/21,TRUE
,qdn,🚚 Fundraising - create and deliver a marketing/outreach campaign,mgd1,2022 Fundraising Proposal,10/31/21,TRUE
,ngj,🤓 Answered forum question,mgd88,Spoke with @nich about blockchain clubs,11/5/21,TRUE
,yix,📏 Created a Poll,mgd83,Social Token Poll,11/4/21,TRUE
,keg,"""🏋️‍♀️ Grants - promote & update grants criteria, outreach""",mgd55,RaidGuild Cohort,11/4/21,TRUE
,fl8,⌗ Enter Movement Model Data (Governance Committee),mgd21,,10/29/21,TRUE
,fl8,⌗ Enter Movement Model Data (Governance Committee),mgd58,,10/29/21,TRUE
