,Events,,Content,,,Product,,,,,,,,Open Source,,,,,Community,,,,,Social,,,,To categorize somewhere:,,,,,,
Lead ID,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar) [10 pts]",🎙️ Gave a talk about us [10 pts],📚 Wrote blog post for MGD (for internal publication) [9 pts],✏️ Wrote a blog post about MGD (for external publication) [9 pts],💌 Follow MGD on Medium [1 pt],🆘 Successful support interaction [6 pts],🌱 Starting using new feature (Educational Call) [6 pts],🧙‍♂️ Start/Run a Committee  [9 pts],🗳 Vote on a Proposal [8 pts],Sponsor a Proposal [8 pts],Process a Proposal [8 pts],🙋‍♂️ Fill member feedback surveys [4 pts],Governance - Enter Movement Model Data [9 pts],📝Submit MGD Improvement Proposal (MIP) [8 pts],✍️ Contributed to our Documentation [7 pts],📋 Opened a Ticket on Notion [4 pts],⭐ Create Discourse Account [1 pt],📏 Created a Poll [7 pts],🏵 Attended Committee Call [7 pts],🤓 Answered forum question [6 pts],📞 Attended Dao-wide Call [6 pts],👐 Onboarding a new member [6 pts],👋 Joined the DAO [5 pts],🎳 Posted about us in external/private forum [5 pts],🗣 Tweeted about us [4 pts],🐦 Retweeted our tweet [2 pts],🐦 Followed us on twitter [1 pt],"Grants - promote & update grants criteria, outreach [9 pts]",Grants - review applications (as part of a team) [9 pts],"Grants - administration - followup, refinement, onboarding [10 pts]",Grants - accounting and payments [9 pts],"Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period [10 pts]",Fundraising - close a grant (upon receipt) [10 pts],Fundraising - create and deliver a marketing/outreach campaign [10 pts]
0x317112017fb54ec6f4dab35e09896687b029066b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa873baa34ea1868194e5937e3aefd20dd2e549ea,,,,,,1,,,1,,,,1,,,,,,3,,,,,,,,,,1,,,,,
0x4b037687c1c5159285a7defad3681f8e123d2478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf406060a7195f62e92474dbb951be7c0af548397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7560cbe62147199a7948bcb79770de071b5725bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf2399d65930de30768a06ffad5f11ec1f22cc591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9b154bdea6d24f679f46a4f0c16a1b7ba7d3506b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc5debf4b6543aef682f1b34730d16ca51cf7d2e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x008b1ffe244bf31896c833bff4ad9009e7a0f4eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8df168a41c3a3c6be0e9208d5027ea80f2c5ba25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x416c70e1307d1444c1a9e66537cf774852f0ee97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2de2299db048a9e3b8d1934b8dae11b8041cc4fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x4bc519f0b7b348fae780afb2dd4aa76841ba8e9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
