,,,Events,,Content,,Product,,,Open Source,,,,Community,,,,,Social,,,,To categorize somewhere:,,,,,,
Member ID,Name,Twitter Handle,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar) [10 pts]",🎙️ Gave a talk about us [10 pts],📚 Wrote blog post for MGD (for internal publication) [9 pts],💌 Follow MGD on Medium [1 pt],🆘 Successful support interaction [6 pts],🌱 Starting using new feature (Educational Call) [6 pts],🙋‍♂️ Fill member feedback surverys [4 pts],📝Submit MGD Improvement Proposal (MIP) [8 pts],✍️ Contributed to our Documentation [7 pts],📋 Opened a Ticket on Notion [4 pts],⭐ Create Discourse Account [1 pt],🏵 Attended Committee Call [7 pts],🤓 Answered forum question [6 pts],📞 Attended Dao-wide Call [6 pts],👐 Onboarding a new member [6 pts],👋 Joined the DAO [5 pts],🎳 Posted about us in external/private forum [5 pts],🗣 Tweeted about us [4 pts],🐦 Retweeted our tweet [2 pts],🐦 Followed us on twitter [1 pt],"Grants - promote & update grants criteria, outreach [9 pts]",Grants - review applications (as part of a team) [9 pts],"Grants - administration - followup, refinement, onboarding [10 pts]",Grants - accounting and payments [9 pts],"Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period [10 pts]",Fundraising - close a grant (upon receipt) [10 pts],Fundrasing - create and deliver a marketing/outreach campaign [10 pts]
0x2f4ce4f714c68a3fc871d1f543ffc24b9b3c2386,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7ce0448b0fafab6cace981fffa967cf380a2cc33,James,@shih_james,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x51448923d8a215a5a8cd872a51f22c2f5c43b444,Chase Chapman,@chaserchapman,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9644707d7af58cc1e3d6459eb0683d8d2d0ae8b9,Bettina,@bettina_boon,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
0x97e56fecdc81cf03568193595fcf726936bff9e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9eee8d846de97dd17a4c42a8230f8444baa402e0,Carolin,@CarolinWend,,,,,,,,,,,,,,,,,2,,,,,,,,,,
0x1df428833f2c9fb1ef098754e5d710432450d706,0xJoshua,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0x76186ca250bef65522561a0b9ff51d4ee5608932,Lauren Halstead,@halsteady,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x07e00db0f17f123b7085113209d5230fa52b9bac,franhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xb82f90c255c10c04a66b0a8fc7a3103552805efb,Dystopia Labs,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
0xb864abf9fc4d89ff8fa4b3a97735168430f12750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc70ccf026d50d827292442d364072b588c960587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x3b1b770b3821678e44cf456764a06ea0a937b17a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x4f0a1940de411285ad0455a7f40c81b5e0bc8492,Juliana,@itsencrypted1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x317112017fb54ec6f4dab35e09896687b029066b,Nadia,@nad8802,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa873baa34ea1868194e5937e3aefd20dd2e549ea,Zayi Reyes,@ZayiRey,,,,,,,,,,,,,,,,,,4,,,,,,,,,
0x4b037687c1c5159285a7defad3681f8e123d2478,maxgrok,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
0xf406060a7195f62e92474dbb951be7c0af548397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7560cbe62147199a7948bcb79770de071b5725bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf2399d65930de30768a06ffad5f11ec1f22cc591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9b154bdea6d24f679f46a4f0c16a1b7ba7d3506b,Hannah,@blondontherun,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc5debf4b6543aef682f1b34730d16ca51cf7d2e1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
0x008b1ffe244bf31896c833bff4ad9009e7a0f4eb,Alex Berto G,@A_BertoG,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8df168a41c3a3c6be0e9208d5027ea80f2c5ba25,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
0x416c70e1307d1444c1a9e66537cf774852f0ee97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2de2299db048a9e3b8d1934b8dae11b8041cc4fd,Holly Atkinson,@haatkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x4bc519f0b7b348fae780afb2dd4aa76841ba8e9e,Muskan,@muskan_kalra24,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7b95726160392d606c3fdceff3d6f631a33813c5,LaRae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xdbf14da8949d157b57acb79f6eee62412b210900,Nichanan Kesonpat,@nichanank,,,,,,,,,,,,,,,,,,,,,,,,,,,
